User,Film,Rating
djaycoholyc,The Doll 2,1.25
djaycoholyc,Bird Box,4.0
djaycoholyc,Target,4.375
djaycoholyc,Kuntilanak,2.840909
djaycoholyc,Beyond Skyline,0.75
djaycoholyc,Bad Genius,3.083333
djaycoholyc,Galih dan Ratna,4.0
djaycoholyc,Spider-Man: Into the Spider-Verse,3.0
djaycoholyc,Thor: Ragnarok,4.0
djaycoholyc,Okja,1.875
djaycoholyc,5 Cowok Jagoan,3.3
djaycoholyc,Ant-Man and the Wasp,4.0
djaycoholyc,Avengers: Infinity War,4.5
djaycoholyc,Black Panther,4.25
djaycoholyc,Buffalo Boys,1.5
djaycoholyc,A Wrinkle in Time,1.5
djaycoholyc,Milea,2.5
djaycoholyc,Lady Bird,3.5
djaycoholyc,The Disaster Artist,3.0
djaycoholyc,Uncut Gems,2.5
djaycoholyc,Dilan 1990,3.5
djaycoholyc,Dilan 1991,3.5
djaycoholyc,Si Doel the Movie,4.0
djaycoholyc,My Stupid Boss 2,4.0
djaycoholyc,The Florida Project,3.5
djaycoholyc,Happy Old Year,4.0
djaycoholyc,Lost Girls,2.5
djaycoholyc,Love for Sale 2,4.0
djaycoholyc,Posesif,4.0
djaycoholyc,The Two Popes,4.0
djaycoholyc,Cahaya Dari Timur Beta Maluku,4.0
djaycoholyc,Eurovision Song Contest: The Story of Fire Saga,4.0
djaycoholyc,6 Underground,3.0
djaycoholyc,Marriage Story,4.0
djaycoholyc,The Island,2.25
djaycoholyc,Love for Sale,4.0
djaycoholyc,Love for Sale,3.125
djaycoholyc,The Irishman,3.5
djaycoholyc,Drive,2.0
djaycoholyc,My Stupid Boss,3.295455
djaycoholyc,The Last Airbender,3.75
djaycoholyc,The Runaways,2.539063
djaycoholyc,Hugo,3.5
djaycoholyc,Olympus Has Fallen,1.5
djaycoholyc,Habibie & Ainun,2.916667
djaycoholyc,Rudy Habibie,2.5
djaycoholyc,Surga Yang Tak Dirindukan,1.458333
djaycoholyc,The Doll,3.125
djaycoholyc,The Theory of Everything,1.625
djaycoholyc,Cats & Dogs: The Revenge of Kitty Galore,3.40625
djaycoholyc,Clash of the Titans,3.278571
djaycoholyc,Cloud Atlas,0.75
djaycoholyc,Dallas Buyers Club,3.791667
djaycoholyc,Surat Dari Praha,3.6125
djaycoholyc,The Adventures of Tintin,5.0
djaycoholyc,The Book of Eli,2.666667
djaycoholyc,The Bounty Hunter,3.3125
djaycoholyc,The Company Men,2.5
djaycoholyc,The Croods,3.75
djaycoholyc,The Iron Lady,3.5
djaycoholyc,Grown Ups,3.1875
djaycoholyc,Extraction,3.0
djaycoholyc,Green Lantern,0.0
djaycoholyc,The Interview,2.708333
djaycoholyc,Inception,3.666667
djaycoholyc,Django Unchained,2.5
djaycoholyc,The Twilight Saga: Breaking Dawn: Part 2,2.5
djaycoholyc,Snowpiercer,4.0
djaycoholyc,Kung Fu Panda 2,3.316964
djaycoholyc,Spy Kids: All the Time in the World,1.5
djaycoholyc,Due Date,3.217857
djaycoholyc,Green Zone,2.666667
djaycoholyc,Madagascar 3: Europe's Most Wanted,3.645833
djaycoholyc,Crimson Peak,2.0
djaycoholyc,The BFG,2.770833
djaycoholyc,The Conjuring,2.909091
djaycoholyc,Shutter Island,2.5
djaycoholyc,The Next Three Days,2.510417
djaycoholyc,Tanda Tanya,4.0
