idFilm,namaFilm,director,cast,country,releaseYear,duration,genre,description
436,Eurovision Song Contest: The Story of Fire Saga,David Dobkin,"Will Ferrell, Rachel McAdams, Dan Stevens, Melissanthi Mahut, Mikael Persbrandt, Ólafur Darri Ólafsson, Graham Norton, Demi Lovato, Pierce Brosnan",United States,2020.0,124 min,"Comedies, Music & Musicals, Romantic Movies","Two small-town singers chase their pop star dreams at a global music competition, where high stakes, scheming rivals and onstage mishaps test their bond."
437,Athlete A,"Bonni Cohen, Jon Shenk",,United States,2020.0,104 min,"Documentaries, Sports Movies",This documentary focuses on the gymnasts who survived USA Gymnastics doctor Larry Nassar's abuse and the reporters who exposed USAG's toxic culture.
438,Riding Faith,Paco Aguilar,"John Schneider, T.C. Stallings, Grace Van Dien, Marisa Brown, Jimmy Deshler",United States,2020.0,81 min,"Children & Family Movies, Dramas, Faith & Spirituality","Following her father's death, a young woman struggles to help her mother keep the family ranch afloat while preserving a special bond with her horse."
439,Jo Koy: In His Elements,Michael McKay,"Jo Koy, Andrew Lopez, Joey Guila, Andrew Orolfo",United States,2020.0,55 min,Stand-Up Comedy,"Jo Koy brings the laughs and beats to Manila, spotlighting local culture in a one-of-a-kind show featuring Filipino American comedians, DJs and B-boys."
440,The Last Days of American Crime,Olivier Megaton,"Edgar Ramírez, Michael Pitt, Anna Brewster, Patrick Bergin, Sharlto Copley, Brandon Auret, Tamer Burjaq, Terence Maynard, James Richard Marshall",United States,2020.0,149 min,"Action & Adventure, Dramas, Independent Movies","A bank robber joins a plot to commit one final, historic heist before the government turns on a mind-altering signal that will end all criminal behavior."
441,Spelling the Dream,Sam Rega,,United States,2020.0,83 min,"Children & Family Movies, Documentaries","Following four hopeful competitors, this documentary explores Indian Americans' decades-long success at the biggest spelling contest in the U.S."
442,Ben Platt Live from Radio City Music Hall,"Alex Timbers, Sam Wrench",Ben Platt,United States,2020.0,85 min,Music & Musicals,"Backed by a full band and a ready wit, actor Ben Platt opens up a very personal songbook onstage —numbers from his debut LP, ""Sing to Me Instead.”"
443,The Wrong Missy,Tyler Spindel,"David Spade, Lauren Lapkus, Nick Swardson, Geoff Pierson, Jackie Sandler, Sarah Chalke, Rob Schneider, Chris Witaske, Joe Anoa'i, Molly Sims",United States,2020.0,90 min,"Comedies, Romantic Movies","Tim thinks he's invited the woman of his dreams on a work retreat to Hawaii, realizing too late he mistakenly texted someone from a nightmare blind date."
444,Have a Good Trip: Adventures in Psychedelics,Donick Cary,"Nick Offerman, Adam Scott",United States,2020.0,86 min,Documentaries,"Explore hallucinogenic highs and lows as celebrities share funny, mind-blowing tales via animations, reenactments and more in this documentary."
445,John Henry,Will Forbes,"Terry Crews, Ludacris, Jamila Velazquez, J.J. Soria, Ken Foree, Daffany Clark, Kimberly Hébert-Gregory, Tyler Alvarez",United States,2020.0,92 min,"Dramas, Thrillers",A reformed LA gang member upends his peaceful new life when he steps in to protect two young immigrants from his violent former leader.
446,Bennett's War,Alex Ranarivelo,"Michael Roark, Trace Adkins, Ali Afshar, Allison Paige, Tony Panterra, Brando Eaton, Hunter Clowdus, Michael King",United States,2019.0,94 min,"Dramas, Sports Movies",A medically discharged soldier attempts an improbable return to motorcycle racing to win enough prize money to save his father's farm.
447,All Day and a Night,Joe Robert Cole,"Jeffrey Wright, Ashton Sanders, Regina Taylor, Yahya Abdul-Mateen II, Isaiah John, Kelly Jenrette, Shakira Ja-nai Paye",United States,2020.0,122 min,"Dramas, Independent Movies","While serving life in prison, a young man looks back at the people, the circumstances and the system that set him on the path toward his crime."
448,Cracked Up: The Darrell Hammond Story,Michelle Esrick,Darrell Hammond,United States,2018.0,97 min,Documentaries,"""Saturday Night Live"" star Darrell Hammond reveals the extreme abuse he suffered during childhood, a trauma that nearly destroyed his life as an adult."
449,Go! Go! Cory Carson: The Chrissy,"Alex Woo, Stanley Moore","Alan C. Lim, Maisie Benson, Kerry Gudjohnsen, Terrance Smith, Paul Killam, Omari Weaver, Ella Joy Ballesteros, Smith Foreman, Stanley Moore",United States,2020.0,42 min,Children & Family Movies,"The Carson kids win a talent show with a dance that Cory created. But when ""The Chrissy"" catches on, his little sister gets all of the attention."
450,6 Underground,Michael Bay,"Ryan Reynolds, Mélanie Laurent, Corey Hawkins, Dave Franco, Adria Arjona, Manuel Garcia-Rulfo, Ben Hardy, Lior Raz, Payman Maadi, Yuri Kolokolnikov, Kim Kold",United States,2019.0,129 min,"Action & Adventure, Dramas","After faking his death, a tech billionaire recruits a team of international operatives for a bold and bloody mission to take down a brutal dictator."
451,Marriage Story,Noah Baumbach,"Scarlett Johansson, Adam Driver, Laura Dern, Alan Alda, Ray Liotta, Julie Hagerty, Merritt Wever, Azhy Robertson","United Kingdom, United States",2019.0,137 min,Dramas,Academy Award-nominated filmmaker Noah Baumbach directs this incisive and compassionate look at a marriage coming apart and a family staying together.
452,No Game No Life: Zero,Atsuko Ishizuka,"Yoshitsugu Matsuoka, Ai Kayano, Yoko Hikasa, Yukari Tamura, Yuka Iguchi, Mamiko Noto, Miyuki Sawashiro, Rie Kugimiya, Toru Okawa, Kazuyuki Okitsu, Junichi Suwabe, Lynn, Yui Horie, Nanako Mori, Ryota Takeuchi",Japan,2017.0,106 min,"Action & Adventure, Anime Features, International Movies","In ancient Disboard, a young warrior befriends an ex machina and embarks on a harrowing mission to stop a global war and save humanity from extinction."
453,The Accidental Spy,Roger Russell,"Ramsey Nouah, Christine Allado, Ayo Makun, Emmanuel Edunjobi, Thenjiwe Moseley, Miguel A. Núñez Jr., Bucci Franklin",Nigeria,2017.0,104 min,"Action & Adventure, Comedies, International Movies","Nursing a broken heart, an IT specialist moves to London to audition for a reality TV show that unexpectedly turns into a real-life cartel drama."
454,The Island,Toka McBaror,"Sambasa Nzeribe, Segun Arinze, Tokunbo Idowu, Femi Adebayo",Nigeria,2018.0,93 min,"Dramas, International Movies, Thrillers","When a colonel uncovers controversial intel about the government, he makes a shocking discovery and must decide whether to reveal it or risk his life."
455,Master Z: The Ip Man Legacy,Yuen Woo-ping,"Zhang Jin, Dave Bautista, Michelle Yeoh, Tony Jaa, Liu Yan, Kevin Cheng, Chrissie Chow, Xing Yu","Hong Kong, China",2018.0,108 min,"Action & Adventure, International Movies","In this spin-off, a martial arts expert once defeated by Ip Man is forced to abandon his reclusive lifestyle to combat a rising Chinese triad."
456,After,Jenny Gage,"Josephine Langford, Hero Fiennes Tiffin, Selma Blair, Inanna Sarkis, Shane Paul McGhie, Pia Mia, Khadijha Red Thunder, Dylan Arnold, Samuel Larsen, Jennifer Beals, Peter Gallagher",United States,2019.0,106 min,"Dramas, Romantic Movies","Wholesome college freshman Tessa Young thinks she knows what she wants out of life, until she crosses paths with complicated bad boy Hardin Scott."
457,Home Is Where the Killer Is,Kaila York,"Stacy Haiduk, Kelly Kruger, Christopher Sean, Anne Leighton, Beth Littleford, John-Paul Lavoisier, Kristoff St. John, Pallavi Sastry",United States,2019.0,87 min,"Dramas, Thrillers","Recovering from cancer, a young woman thinks she’s found a friend when she rents a room from a caring ex-doctor. But empathy soon becomes obsession."
