idFilm,namaFilm,director,cast,country,releaseYear,duration,genre,description
537,Rudy Habibie,Hanung Bramantyo,"Reza Rahadian, Chelsea Islan, Dian Nitami, Indah Permatasari, Ernest Prakasa, Boris Bokir, Rey Bong, Cornelio Sunny, Pandji Pragiwaksono, Bastian Bintang Simbolon",Indonesia,2016.0,143 min,"Dramas, International Movies","A biopic that explores the hardships and triumphs of the early life of B. J. Habibie, a transformative president of Indonesia."
538,Surga Yang Tak Dirindukan,Kuntz Agus,"Fedi Nuril, Laudya Cynthia Bella, Raline Shah, Sandrinna Michelle, Kemal Pahlevi, Tanta Ginting, Zaskia Adya Mecca, Landung Simatupang, Ray Sitoresmi, Vitta Mariana Barrazza",Indonesia,2015.0,121 min,"Dramas, Faith & Spirituality, International Movies","After saving an unwed expectant mother who's injured in a car accident, a happily married man takes her as his second wife – without telling his first."
539,The Doll,Rocky Soraya,"Shandy Aulia, Denny Sumargo, Sara Wijayanto, Vitta Mariana Barrazza, Demian Aditya, Faiza Mahnur, Hans Gunawan, Aslam Abad, Annette Edoarda, Wenty Mamenda",Indonesia,2016.0,106 min,"Horror Movies, International Movies","Eerie things begin to happen after a man gives his wife a doll, unaware it once belonged to a girl who was murdered. The first of the ""Doll"" films."
540,The Theory of Everything,James Marsh,"Emily Watson, Charlie Cox, Felicity Jones, Maxine Peake, Harry Lloyd, Eddie Redmayne, David Thewlis, Simon McBurney","United Kingdom, Japan",2014.0,123 min,"Dramas, Romantic Movies","As his esteem grows in the world of physics, Stephen Hawking's body is ravaged by ALS, forcing his increasing dependence on his devoted wife, Jane."
541,Kill the Messenger,Michael Cuesta,"Jeremy Renner, Rosemarie DeWitt, Ray Liotta, Tim Blake Nelson, Oliver Platt, Barry Pepper, Michael Sheen, Paz Vega, Michael Kenneth Williams, Mary Elizabeth Winstead, Andy Garcia, Robert Patrick",United States,2014.0,112 min,"Dramas, Thrillers","In the 1980s, a crusading journalist uncovers secret CIA funding for Nicaraguan rebels, but the powers that be silence his investigation."
542,Camp X-Ray,Peter Sattler,"Kristen Stewart, Peyman Moaadi, John Carroll Lynch, Lane Garrison, Joseph Julian Soria, Ser'Darius Blain, Cory Michael Smith, Julia Duffy",United States,2014.0,117 min,"Dramas, Independent Movies","Fresh Army recruit Amy Cole is assigned to Guantanamo Bay's Camp X-Ray, where she forms a surprising bond with one of the prisoners in her charge."
543,Cats & Dogs: The Revenge of Kitty Galore,Brad Peyton,"James Marsden, Nick Nolte, Christina Applegate, Katt Williams, Bette Midler, Neil Patrick Harris, Sean Hayes, Wallace Shawn, Roger Moore, Joe Pantoliano, Michael Clarke Duncan, Chris O'Donnell, Jack McBrayer, Kiernan Shipka","United States, Australia",2010.0,82 min,"Children & Family Movies, Comedies",Cats and dogs must set aside their differences and merge animal instincts when Kitty Galore decides to claw her way to global domination.
544,Chernobyl Diaries,Bradley Parker,"Ingrid Bolsø Berdal, Dimitri Diatchenko, Olivia Taylor Dudley, Devin Kelley, Jesse McCartney, Nathan Phillips, Jonathan Sadowski, Alex Feldman, Kristof Konrad, Pasha D. Lychnikoff",United States,2012.0,88 min,"Horror Movies, Thrillers","A group of kids takes an illegal tour through an abandoned city near Chernobyl, where mysterious humanoid forms begin to haunt their steps..."
545,Clash of the Titans,Louis Leterrier,"Sam Worthington, Liam Neeson, Ralph Fiennes, Jason Flemyng, Gemma Arterton, Alexa Davalos, Tine Stapelfeldt, Mads Mikkelsen, Luke Evans","United States, United Kingdom, Australia",2010.0,106 min,"Action & Adventure, Sci-Fi & Fantasy","If he is to save the life of the beautiful Princess Andromeda, the valiant Perseus must battle a host of powerful, beastly enemies."
546,Cloud Atlas,"Lilly Wachowski, Lana Wachowski, Tom Tykwer","Tom Hanks, Halle Berry, Jim Broadbent, Hugo Weaving, Jim Sturgess, Doona Bae, Ben Whishaw, Keith David, James D'Arcy, Zhou Xun","Germany, United States, Hong Kong, Singapore",2012.0,172 min,"Action & Adventure, Cult Movies, Dramas","In this star-studded drama, six seemingly disparate stories explore the complicated links that humanity shares through the generations."
547,Clouds of Sils Maria,Olivier Assayas,"Juliette Binoche, Kristen Stewart, Chloë Grace Moretz, Lars Eidinger, Johnny Flynn, Angela Winkler, Hanns Zischler, Brady Corbet","France, Germany, Switzerland",2014.0,124 min,"Dramas, International Movies","A middle-aged actress is cast in a film adaptation of the play that made her famous 20 years earlier, but in a much less glamorous role."
548,Dallas Buyers Club,Jean-Marc Vallée,"Matthew McConaughey, Jennifer Garner, Jared Leto, Denis O'Hare, Steve Zahn, Michael O'Neill, Dallas Roberts, Griffin Dunne, Kevin Rankin, Donna DuPlantier",United States,2013.0,117 min,"Dramas, Independent Movies, LGBTQ Movies","Refusing to accept a death sentence from his doctor after being diagnosed with AIDS in 1986, Ron Woodroof smuggles medications from abroad."
549,Death at a Funeral,Neil LaBute,"Chris Rock, Martin Lawrence, Tracy Morgan, Danny Glover, James Marsden, Luke Wilson, Zoe Saldana, Regina Hall, Columbus Short, Peter Dinklage, Kevin Hart, Loretta Devine, Regine Nehy, Keith David, Ron Glass",United States,2010.0,93 min,Comedies,"When a Los Angeles family's patriarch dies, his dutiful eldest son plans the funeral – which becomes a fiasco thanks to a colorful cast of attendees."
550,Dinner for Schmucks,Jay Roach,"Steve Carell, Paul Rudd, Zach Galifianakis, Jemaine Clement, Jeff Dunham, Bruce Greenwood, Ron Livingston, Chris O'Dowd, Lucy Punch, Stephanie Szostak, David Walliams, Larry Wilmore",United States,2010.0,115 min,Comedies,The host of a dinner party invites his friends to bring the saddest loser they can find. But the ultimate schmuck turns everyone else into the losers.
551,Dolphin Tale 2,Charles Martin Smith,"Morgan Freeman, Ashley Judd, Harry Connick Jr., Kris Kristofferson, Nathan Gamble, Austin Stowell, Juliana Harkavy, Charles Martin Smith, Austin Highsmith, Cozi Zuehlsdorff",United States,2014.0,107 min,"Children & Family Movies, Dramas","Winter the dolphin, who survived a tragic injury by receiving a prosthetic tail, bonds with an orphaned baby dolphin after her beloved pool mate dies."
552,Don't Be Afraid of the Dark,Troy Nixey,"Katie Holmes, Guy Pearce, Bailee Madison, Jack Thompson, Garry McDonald, Alan Dale, Julia Blake, Edwina Ritchard, Emilia Burns, Guillermo del Toro","United States, Australia, Mexico",2010.0,99 min,Horror Movies,Young Sally Hurst discovers she isn't alone in her new house: strange creatures live there – and they might not be as friendly as Sally thinks.
553,Don't Knock Twice,Caradog W. James,"Katee Sackhoff, Lucy Boynton, Richard Mylan, Nick Moran, Pascale Wilson, Javier Botet, Pooneh Hajimohammadi, Sarah Buckland",United Kingdom,2016.0,93 min,"Horror Movies, International Movies",A recovering addict becomes her estranged daughter's only hope after the teen awakens a terrifying child-stealing witch from an urban legend.
554,Earth to Echo,Dave Green,"Teo Halm, Astro, Reese Hartwig, Ella Wahlestedt, Jason Gray-Stanford, Algee Smith, Cassius Willis, Sonya Leslie, Kerry O'Malley, Virginia Louise Smith, Peter Mackenzie, Valerie Wildman",United States,2014.0,91 min,"Children & Family Movies, Sci-Fi & Fantasy","When a construction project begins in their neighborhood, four friends start receiving bizarre encoded text messages on their cell phones."
